frame,n_detections,track_id,x,y,vx,vy,label,hits,frames_missing,confirmed,total_fibers_so_far,total_amorphous_so_far
50,2,11,539.0,97.0,-13.0,0.75,amorphous,4,0,True,1,8
51,2,7,517.71,68.82,29.176,-12.044,amorphous,17,4,True,1,8
51,2,8,2.5,104.88,-84.75,-3.062,fiber,6,2,True,1,8
51,2,9,180.0,105.0,-43.875,-1.0,amorphous,5,0,True,1,8
51,2,10,628.0,102.0,0.0,0.0,amorphous,1,4,False,1,8
51,2,11,549.0,91.0,-1.5,-2.625,amorphous,5,0,True,1,8
52,4,7,389.0,102.0,13.388,-7.522,amorphous,18,0,True,1,8
52,4,8,23.0,101.0,-67.208,-3.198,fiber,7,0,True,1,8
52,4,9,75.0,100.0,-74.438,-3.0,amorphous,6,0,True,1,8
52,4,10,628.0,102.0,0.0,0.0,amorphous,1,5,False,1,8
52,4,11,488.0,89.0,-31.25,-2.312,amorphous,6,0,True,1,8
53,2,7,302.0,103.0,-36.806,-3.261,amorphous,19,0,True,1,8
53,2,8,-44.21,97.8,-67.208,-3.198,fiber,7,1,True,1,8
53,2,9,0.56,97.0,-74.438,-3.0,amorphous,6,1,True,1,8
53,2,11,487.0,82.0,-16.125,-4.656,amorphous,7,0,True,1,8
54,2,7,249.0,107.0,-44.903,0.369,amorphous,20,0,True,1,8
54,2,8,-111.42,94.6,-67.208,-3.198,fiber,7,2,True,1,8
54,2,9,-73.88,94.0,-74.438,-3.0,amorphous,6,2,True,1,8
54,2,11,490.0,85.0,-6.562,-0.828,amorphous,8,0,True,1,8
55,2,7,279.0,116.0,-7.451,4.685,amorphous,21,0,True,1,8
55,2,8,-178.62,91.41,-67.208,-3.198,fiber,7,3,True,1,8
55,2,9,-148.31,91.0,-74.438,-3.0,amorphous,6,3,True,1,8
55,2,11,524.0,89.0,13.719,1.586,amorphous,9,0,True,1,8
56,3,7,273.0,125.0,-6.726,6.842,amorphous,22,0,True,1,8
56,3,8,-245.83,88.21,-67.208,-3.198,fiber,7,4,True,1,8
56,3,9,-222.75,88.0,-74.438,-3.0,amorphous,6,4,True,1,8
56,3,11,499.0,96.0,-5.641,4.293,amorphous,10,0,True,1,8
56,3,12,206.0,132.0,0.0,0.0,fiber,1,0,False,1,8
57,2,7,266.27,131.84,-6.726,6.842,amorphous,22,1,True,2,8
57,2,8,-313.04,85.01,-67.208,-3.198,fiber,7,5,True,2,8
57,2,9,-297.19,85.0,-74.438,-3.0,amorphous,6,5,True,2,8
57,2,11,465.0,109.0,-19.82,8.646,amorphous,11,0,True,2,8
57,2,12,109.0,127.0,-97.0,-5.0,fiber,2,0,True,2,8
58,2,7,259.55,138.68,-6.726,6.842,amorphous,22,2,True,2,8
58,2,11,464.0,108.0,-10.41,3.823,amorphous,12,0,True,2,8
58,2,12,45.0,126.0,-80.5,-3.0,fiber,3,0,True,2,8
59,2,7,252.82,145.53,-6.726,6.842,amorphous,22,3,True,2,8
59,2,11,476.0,110.0,0.795,2.912,amorphous,13,0,True,2,8
59,2,12,44.0,127.0,-40.75,-1.0,fiber,4,0,True,2,8
60,2,7,246.1,152.37,-6.726,6.842,amorphous,22,4,True,1,9
60,2,11,505.0,110.0,14.897,1.456,amorphous,14,0,True,1,9
60,2,12,80.0,123.0,-2.375,-2.5,amorphous,5,0,True,1,9
61,2,7,239.37,159.21,-6.726,6.842,amorphous,22,5,True,1,9
61,2,11,410.0,104.0,-40.051,-2.272,amorphous,15,0,True,1,9
61,2,12,17.0,123.0,-32.688,-1.25,amorphous,6,0,True,1,9
62,2,7,345.0,97.0,2.637,1.088,amorphous,23,0,True,1,9
62,2,11,604.0,88.0,76.974,-9.136,amorphous,16,0,True,1,9
62,2,12,-15.69,121.75,-32.688,-1.25,amorphous,6,1,True,1,9
63,2,7,323.0,95.0,-9.681,-0.456,amorphous,24,0,True,1,9
63,2,11,558.0,82.0,15.487,-7.568,amorphous,17,0,True,1,9
63,2,12,-48.38,120.5,-32.688,-1.25,amorphous,6,2,True,1,9
64,3,7,348.0,96.0,7.659,0.272,amorphous,25,0,True,1,9
64,3,11,590.0,87.0,23.744,-1.284,amorphous,18,0,True,1,9
64,3,12,29.0,125.0,-14.344,-0.292,amorphous,7,0,True,1,9
65,4,7,348.0,93.0,3.83,-1.364,amorphous,26,0,True,1,9
65,4,11,612.0,82.0,22.872,-3.142,amorphous,19,0,True,1,9
65,4,12,32.0,123.0,-5.672,-1.146,amorphous,8,0,True,1,9
